year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,กุมภาพันธ์,ภาคตะวันตก,สมุทรสงคราม,157065.00,2816.00,269.28,5.30
2563,กุมภาพันธ์,ภาคตะวันตก,สุพรรณบุรี,164644.00,1100.00,341.55,1.81
2563,กุมภาพันธ์,ภาคตะวันตก,เพชรบุรี,500721.00,30472.00,1467.89,236.90
2563,กุมภาพันธ์,ภาคตะวันตก,ประจวบคีรีขันธ์,329446.00,59912.00,1745.55,593.42
2563,กุมภาพันธ์,ภาคตะวันออก,ชลบุรี,329571.00,307034.00,2213.66,6937.55
2563,กุมภาพันธ์,ภาคตะวันออก,จันทบุรี,257162.00,5193.00,843.27,36.79
2563,กุมภาพันธ์,ภาคตะวันออก,ตราด,92557.00,55560.00,598.74,811.13
2563,กุมภาพันธ์,ภาคตะวันออก,นครนายก,199829.00,1781.00,607.28,4.89
2563,กุมภาพันธ์,ภาคตะวันออก,ปราจีนบุรี,102019.00,6092.00,282.73,20.02
2563,กุมภาพันธ์,ภาคตะวันออก,ระยอง,415288.00,42346.00,1490.33,282.32
2563,กุมภาพันธ์,ภาคตะวันออก,สระแก้ว,136056.00,4632.00,410.96,12.84
2563,กุมภาพันธ์,ภาคใต้,ภูเก็ต,294633.00,594875.00,4211.59,24915.11
2563,กุมภาพันธ์,ภาคใต้,พัทลุง,93606.00,599.00,145.35,1.99
2563,กุมภาพันธ์,ภาคใต้,ตรัง,110438.00,22054.00,776.36,219.04
2563,กุมภาพันธ์,ภาคใต้,ระนอง,92304.00,6525.00,308.09,45.95
2563,กุมภาพันธ์,ภาคใต้,ชุมพร,83511.00,6858.00,356.78,33.82
2563,กุมภาพันธ์,ภาคใต้,ปัตตานี,19015.00,247.00,72.15,1.16
2563,กุมภาพันธ์,ภาคใต้,ยะลา,8288.00,19989.00,34.11,96.03
2563,กุมภาพันธ์,ภาคใต้,นครศรีธรรมราช,218609.00,7891.00,778.82,27.77
2563,กุมภาพันธ์,ภาคใต้,นราธิวาส,25727.00,26344.00,72.11,120.87
2563,กุมภาพันธ์,ภาคใต้,กระบี่,209565.00,218272.00,3630.79,5402.64
2563,กุมภาพันธ์,ภาคใต้,สงขลา,224797.00,96944.00,1624.10,1252.87
2563,กุมภาพันธ์,ภาคใต้,พังงา,75732.00,183067.00,470.74,2966.56
2563,กุมภาพันธ์,ภาคใต้,สุราษฎร์ธานี,168436.00,197085.00,1286.60,5333.84
2563,กุมภาพันธ์,ภาคใต้,สตูล,130525.00,13073.00,1111.31,68.75
2563,กุมภาพันธ์,ภาคเหนือ,กำแพงเพชร,53773.00,1942.00,110.25,6.37
2563,กุมภาพันธ์,ภาคเหนือ,เชียงราย,228021.00,34484.00,1578.33,294.67
2563,กุมภาพันธ์,ภาคเหนือ,เชียงใหม่,530347.00,165688.00,5130.88,2239.29
2563,กุมภาพันธ์,ภาคเหนือ,พิจิตร,52330.00,371.00,111.22,0.58
